id,skill,should_trigger,prompt,must_pass
scope_01,kp_scope,true,"Use $kp_scope to define the Lantern PR revision task without editing files","execution authorization is explicit and defaults to No"
scope_02,kp_scope,true,"I know the goal but need clear boundaries, acceptance criteria, and stop conditions","returns in scope, out of scope, permissions, evidence, and gates"
scope_03,kp_scope,false,"Fix this typo in README","does not inflate a trivial task into a full scope mission"
plan_01,kp_plan,true,"Use $kp_plan for the approved migration revision","classifies every step by DOC SOURCE RUNTIME SCHEMA_DDL DATA_DML EXTERNAL_WRITE or PRODUCTION"
plan_02,kp_plan,true,"Plan the Stripe identity correction after scope approval","adds a second approval gate for payment and identity semantics"
plan_03,kp_plan,false,"Explain what a database migration is","does not trigger execution planning"
check_01,kp_checkit,true,"Use $kp_checkit to verify this green CI pull request","does not equate green CI with merge readiness"
check_02,kp_checkit,true,"Check whether Migration 004 is additive and safe","inspects DDL, DML, constraints, sequences, disposable database proof, and rollback"
check_03,kp_checkit,false,"Give me a quick grammar check","does not trigger repository verification"
receipt_01,kp_receipt,true,"Create the final receipt for this PR","requires final head SHA, latest CI, final diff, scope deviation, and unresolved risks"
receipt_02,kp_receipt,true,"Close this task as PASS","refuses PASS when semantic, migration, merge, or deployment gates are unknown"
receipt_03,kp_receipt,false,"Summarize what happened today","does not create a completion receipt without a completed verified task"
retro_01,kp_retrospective,true,"Run a retrospective on Lantern Phase 0","quantifies first pass success, retries, rework, scope deviation, semantic surprise, and gate correction"
retro_02,kp_retrospective,false,"What is our current task","does not run a retrospective on an active task"
systemize_01,kp_systemize,true,"This problem keeps happening across projects. Turn it into a reusable process","selects the simplest sufficient system form"
systemize_02,kp_systemize,true,"Rory keeps performing this process from memory and I need to learn it","separates human judgment from Codex responsibilities and creates a fillable process"
systemize_03,kp_systemize,false,"What time is it","does not systemize a factual one time request"
baseline_01,kp_repository_baseline,true,"Audit this app before we build new features","checks clean install, typecheck, credential free build, source schema env contracts, CI, migration safety, and deployment provenance"
baseline_02,kp_repository_baseline,true,"This repository builds but I do not know whether it is safe to monetize","separates technical, semantic, migration, merge, and deployment gates"
baseline_03,kp_repository_baseline,false,"Add a button to the settings page","does not replace a scoped feature task with a repository audit"
